batch_index,pair_id,device,amp,image_size,tokenizer_sec,encoder_sec,decoder_sec,reverse_sec,full_sec,cover_l2,cover_psnr,token_mse,reverse_l2
96,000000252507__woman_with_hat_matisse,cuda,False,256,0.002380475001700688,0.007545399999798974,0.00058967500081053,0.01243077500112122,0.02294632500343141,0.00010753698734333739,39.684417724609375,0.013767246156930923,0.002464270917698741
96,000000102331__antimonocromatismo,cuda,False,256,0.002380475001700688,0.007545399999798974,0.00058967500081053,0.01243077500112122,0.02294632500343141,0.00011511597404023632,39.38864517211914,0.01806633733212948,0.0025999213103204966
96,000000102331__impronte_d_artista,cuda,False,256,0.002380475001700688,0.007545399999798974,0.00058967500081053,0.01243077500112122,0.02294632500343141,0.00011958053801208735,39.22339630126953,0.01815742626786232,0.0034113689325749874
96,000000102331__picasso_self_portrait,cuda,False,256,0.002380475001700688,0.007545399999798974,0.00058967500081053,0.01243077500112122,0.02294632500343141,0.00010605108400341123,39.744850158691406,0.01777791604399681,0.002376115880906582
97,000000102331__trial,cuda,False,256,0.0023752499982947484,0.007358975002716761,0.00028464999923016876,0.01221330000043963,0.02223217500068131,0.00011659247684292495,39.33329772949219,0.017845220863819122,0.0031338725239038467
97,000000102331__woman_with_hat_matisse,cuda,False,256,0.0023752499982947484,0.007358975002716761,0.00028464999923016876,0.01221330000043963,0.02223217500068131,0.00011564527812879533,39.36872100830078,0.018025556579232216,0.0026355492882430553
97,000000428218__antimonocromatismo,cuda,False,256,0.0023752499982947484,0.007358975002716761,0.00028464999923016876,0.01221330000043963,0.02223217500068131,0.00011900578829227015,39.24432373046875,0.013258032500743866,0.0024921514559537172
97,000000428218__impronte_d_artista,cuda,False,256,0.0023752499982947484,0.007358975002716761,0.00028464999923016876,0.01221330000043963,0.02223217500068131,0.00012557185254991055,39.011077880859375,0.013331280089914799,0.0030968785285949707
98,000000428218__picasso_self_portrait,cuda,False,256,0.0024231749994214624,0.007320175001950702,0.0002875499994843267,0.01235975000236067,0.02239065000321716,0.0001236974203493446,39.076393127441406,0.013177399523556232,0.0027765664272010326
98,000000428218__trial,cuda,False,256,0.0024231749994214624,0.007320175001950702,0.0002875499994843267,0.01235975000236067,0.02239065000321716,0.0001248591870535165,39.035797119140625,0.013212702237069607,0.003137359395623207
98,000000428218__woman_with_hat_matisse,cuda,False,256,0.0024231749994214624,0.007320175001950702,0.0002875499994843267,0.01235975000236067,0.02239065000321716,0.00012176165910204872,39.144893646240234,0.013435086235404015,0.0027482151053845882
98,000000007816__antimonocromatismo,cuda,False,256,0.0024231749994214624,0.007320175001950702,0.0002875499994843267,0.01235975000236067,0.02239065000321716,0.00011041265679523349,39.5698127746582,0.018791919574141502,0.002161051845178008
99,000000007816__impronte_d_artista,cuda,False,256,0.0021116499992785975,0.007272349997947458,0.0003211249968444463,0.01238500000181375,0.022090124995884253,0.00011816628830274567,39.27506637573242,0.01910840906202793,0.0026396613102406263
99,000000007816__picasso_self_portrait,cuda,False,256,0.0021116499992785975,0.007272349997947458,0.0003211249968444463,0.01238500000181375,0.022090124995884253,0.00010679123079171404,39.71464538574219,0.018783986568450928,0.002132521476596594
99,000000007816__trial,cuda,False,256,0.0021116499992785975,0.007272349997947458,0.0003211249968444463,0.01238500000181375,0.022090124995884253,0.00010593688784865662,39.74953079223633,0.01891127973794937,0.0023693027906119823
99,000000007816__woman_with_hat_matisse,cuda,False,256,0.0021116499992785975,0.007272349997947458,0.0003211249968444463,0.01238500000181375,0.022090124995884253,0.00011719918984454125,39.31075668334961,0.019083905965089798,0.002362416125833988
100,000000410878__antimonocromatismo,cuda,False,256,0.00210595000316971,0.007636250000359723,0.0004738749994430691,0.012218025000038324,0.022434100003010826,0.00010517866758164018,39.780723571777344,0.0108869019895792,0.0013764044269919395
100,000000410878__impronte_d_artista,cuda,False,256,0.00210595000316971,0.007636250000359723,0.0004738749994430691,0.012218025000038324,0.022434100003010826,0.00010878825560212135,39.634178161621094,0.010961925610899925,0.0016412793193012476
100,000000410878__picasso_self_portrait,cuda,False,256,0.00210595000316971,0.007636250000359723,0.0004738749994430691,0.012218025000038324,0.022434100003010826,9.893940296024084e-05,40.04630661010742,0.010932564735412598,0.001349818310700357
100,000000410878__trial,cuda,False,256,0.00210595000316971,0.007636250000359723,0.0004738749994430691,0.012218025000038324,0.022434100003010826,0.000111855857539922,39.5134162902832,0.010824031196534634,0.0016805087216198444
101,000000410878__woman_with_hat_matisse,cuda,False,256,0.0025185000013152603,0.007227699999930337,0.0003407750009500887,0.012521200002083788,0.022608175004279474,0.00010459389886818826,39.80493927001953,0.01109991129487753,0.001415704726241529
101,000000461009__antimonocromatismo,cuda,False,256,0.0025185000013152603,0.007227699999930337,0.0003407750009500887,0.012521200002083788,0.022608175004279474,9.776603837963194e-05,40.09811782836914,0.008372444659471512,0.0005523220752365887
101,000000461009__impronte_d_artista,cuda,False,256,0.0025185000013152603,0.007227699999930337,0.0003407750009500887,0.012521200002083788,0.022608175004279474,0.00010712516086641699,39.701087951660156,0.008412039838731289,0.0007482938817702234
