label,run,pair_id,eval_strength,cover_psnr,token_mse,jpeg_token_mse,rbn_token_mse,thumb_mse,reverse_l2,reverse_psnr
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000139883__trial,1.36,38.15802001953125,0.02195330336689949,0.021808523684740067,0.021629061549901962,0.0003077961737290025,0.018799517303705215,17.258533477783203
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000139883__woman_with_hat_matisse,1.36,37.95098114013672,0.022113677114248276,0.021963875740766525,0.021786056458950043,0.0002946698514278978,0.018677663058042526,17.286775588989258
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000281929__antimonocromatismo,1.36,38.757442474365234,0.015651358291506767,0.015448153018951416,0.015273943543434143,0.00025356054538860917,0.00678049772977829,21.68738555908203
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000281929__impronte_d_artista,1.36,38.66862869262695,0.015527988784015179,0.01539508905261755,0.0152951180934906,0.0002529279445298016,0.0073134638369083405,21.358768463134766
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000281929__picasso_self_portrait,1.36,38.581451416015625,0.01569698378443718,0.01547861285507679,0.015277022495865822,0.0002993132220581174,0.006619944237172604,21.79145622253418
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000281929__trial,1.36,39.29022216796875,0.015576208010315895,0.015427947044372559,0.015304366126656532,0.0002544971357565373,0.006311475299298763,21.99869155883789
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000281929__woman_with_hat_matisse,1.36,38.47905349731445,0.015585046261548996,0.015444884076714516,0.015308108180761337,0.00024387842859141529,0.00703380536288023,21.528095245361328
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000408830__antimonocromatismo,1.36,38.91990280151367,0.01771353930234909,0.017543409019708633,0.017363213002681732,0.0002968883782159537,0.008903434500098228,20.504425048828125
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000408830__impronte_d_artista,1.36,38.846900939941406,0.01765967532992363,0.017551830038428307,0.017467916011810303,0.0003049398073926568,0.008731096051633358,20.589313507080078
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000408830__picasso_self_portrait,1.36,38.78949737548828,0.017733944579958916,0.017563555389642715,0.01738423854112625,0.00032254226971417665,0.008802419528365135,20.553979873657227
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000408830__trial,1.36,39.19426345825195,0.017621692270040512,0.017516378313302994,0.01741589605808258,0.0003054600383620709,0.008575674146413803,20.667320251464844
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000408830__woman_with_hat_matisse,1.36,38.73867416381836,0.017575327306985855,0.017464667558670044,0.017374256625771523,0.00029875358450226486,0.008699638769030571,20.604990005493164
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000421757__antimonocromatismo,1.36,38.843868255615234,0.01288471557199955,0.012765434570610523,0.01265718787908554,0.00023926259018480778,0.010368751361966133,19.842737197875977
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000421757__impronte_d_artista,1.36,38.81565856933594,0.01260414533317089,0.012533783912658691,0.012481661513447762,0.000218806293560192,0.00989081896841526,20.047679901123047
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000421757__picasso_self_portrait,1.36,38.80650329589844,0.012491977773606777,0.012355679646134377,0.012217322364449501,0.000257310428423807,0.01083916425704956,19.650043487548828
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000421757__trial,1.36,38.803436279296875,0.012729596346616745,0.012652806006371975,0.012589479796588421,0.0002283567446283996,0.010321281850337982,19.86266326904297
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000421757__woman_with_hat_matisse,1.36,38.90208435058594,0.012890340760350227,0.012809235602617264,0.012734291143715382,0.00022368328063748777,0.009706469252705574,20.12938690185547
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000565012__antimonocromatismo,1.36,38.81001663208008,0.023697838187217712,0.023439861834049225,0.023155532777309418,0.0005742075154557824,0.011947899125516415,19.22708511352539
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000565012__impronte_d_artista,1.36,38.83750915527344,0.023471668362617493,0.023303188383579254,0.023156477138400078,0.0005996410036459565,0.012393839657306671,19.067941665649414
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000565012__picasso_self_portrait,1.36,38.678375244140625,0.02361740544438362,0.023368345573544502,0.023129373788833618,0.0006023505702614784,0.012037898413836956,19.19449234008789
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000565012__trial,1.36,39.119789123535156,0.02341434545814991,0.023249264806509018,0.023068465292453766,0.0006148464744910598,0.011812590062618256,19.27655029296875
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000565012__woman_with_hat_matisse,1.36,38.621116638183594,0.023468907922506332,0.02328680269420147,0.023108862340450287,0.0005892312037758529,0.012051833793520927,19.189470291137695
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000443844__antimonocromatismo,1.36,38.751922607421875,0.009356614202260971,0.009212310425937176,0.009054549038410187,0.00016755305114202201,0.00871670339256525,20.596477508544922
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000443844__impronte_d_artista,1.36,39.695396423339844,0.009152524173259735,0.009084765799343586,0.009011362679302692,0.00021554167324211448,0.006759147625416517,21.701080322265625
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000443844__picasso_self_portrait,1.36,38.573909759521484,0.009720874018967152,0.009600076824426651,0.009469671174883842,0.0003094247658737004,0.005810198839753866,22.358091354370117
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000443844__trial,1.36,38.98518371582031,0.009192220866680145,0.009106944315135479,0.009014826267957687,0.00018792386981658638,0.007456905674189329,21.2744140625
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000443844__woman_with_hat_matisse,1.36,38.78278350830078,0.00939686968922615,0.00926903448998928,0.009109297767281532,0.00016130623407661915,0.00802652444690466,20.95472526550293
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000252507__antimonocromatismo,1.36,39.14053726196289,0.014518672600388527,0.014382151886820793,0.014259951189160347,0.0002014854399021715,0.012843962758779526,18.913009643554688
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000252507__impronte_d_artista,1.36,39.02109909057617,0.014315104112029076,0.014237899333238602,0.01418802049010992,0.00021026672038715333,0.013830373995006084,18.59166145324707
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000252507__picasso_self_portrait,1.36,38.67618942260742,0.014318781904876232,0.014174213632941246,0.014056656509637833,0.0002456919173710048,0.012799473479390144,18.92807960510254
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000252507__trial,1.36,39.23834228515625,0.014301573857665062,0.014215108007192612,0.01414763368666172,0.0001976260682567954,0.013431265950202942,18.71883201599121
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000252507__woman_with_hat_matisse,1.36,38.72431564331055,0.014395489357411861,0.014316987246274948,0.014268040657043457,0.0001949713914655149,0.013164917007088661,18.805818557739258
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000102331__antimonocromatismo,1.36,39.04910659790039,0.019335348159074783,0.019185099750757217,0.0190480574965477,0.000396552262827754,0.009724738076329231,20.1212215423584
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000102331__impronte_d_artista,1.36,38.54875183105469,0.01931879296898842,0.019234903156757355,0.01917354017496109,0.0004264827002771199,0.010728063993155956,19.694786071777344
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000102331__picasso_self_portrait,1.36,39.068153381347656,0.019559679552912712,0.019442755728960037,0.019329451024532318,0.0004710632492788136,0.00988396443426609,20.050689697265625
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000102331__trial,1.36,38.931190490722656,0.01904481090605259,0.01896831952035427,0.01892147585749626,0.00040103340870700777,0.010008726269006729,19.996212005615234
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000102331__woman_with_hat_matisse,1.36,38.647396087646484,0.019088439643383026,0.019004063680768013,0.018935777246952057,0.0003987824893556535,0.009839057922363281,20.070465087890625
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000428218__antimonocromatismo,1.36,39.0729866027832,0.015503471717238426,0.015274440869688988,0.015041365288197994,0.0003118291206192225,0.005448626354336739,22.637130737304688
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000428218__impronte_d_artista,1.36,38.757362365722656,0.015197770670056343,0.015076402574777603,0.014956518076360226,0.0002860340755432844,0.005533732008188963,22.5698184967041
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000428218__picasso_self_portrait,1.36,38.38996505737305,0.015399545431137085,0.015164559707045555,0.014909284189343452,0.0003662973176687956,0.005618741270154715,22.503612518310547
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000428218__trial,1.36,38.90597915649414,0.01509709283709526,0.014947434887290001,0.014779536984860897,0.0003129772376269102,0.0056837680749595165,22.453636169433594
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000428218__woman_with_hat_matisse,1.36,38.879554748535156,0.015376720577478409,0.01525787077844143,0.015135488472878933,0.00027290411526337266,0.005344281904399395,22.721107482910156
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000007816__antimonocromatismo,1.36,39.01759338378906,0.01832466945052147,0.018254190683364868,0.018201297149062157,0.0002189223887398839,0.011144837364554405,19.52926254272461
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000007816__impronte_d_artista,1.36,38.72339630126953,0.018347937613725662,0.018301352858543396,0.018268555402755737,0.0002152988890884444,0.011941513046622276,19.229406356811523
V7.4 full pre-repair,colab_style_stego_benchmark_v7_4_sota_killer_scratch,000000007816__picasso_self_portrait,1.36,38.915592193603516,0.01820243149995804,0.018121175467967987,0.01805109716951847,0.00023984990548342466,0.01167372241616249,19.327905654907227
